so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,90,0.003,0.2,,,2,22,2,7,전북,,1,,1,,2026-04-24 16:00,1,0.004,삼기면,1,0.077
1,,79,0.003,0.2,,,2,15,2,8,전북,,1,,1,,2026-04-24 16:00,1,0.007,팔봉동,1,0.064
1,,81,0.003,0.1,,,2,32,2,6,전북,,1,,1,,2026-04-24 16:00,1,0.004,모현동,1,0.067
1,,81,0.002,0.3,,,2,15,2,5,전북,,1,,1,,2026-04-24 16:00,1,0.005,용동면,1,0.067
1,,79,0.003,0.2,,,2,14,2,3,전북,,1,,1,,2026-04-24 16:00,1,0.004,함열읍,1,0.065
1,,78,0.003,0.3,,,2,31,2,4,전북,,1,,1,,2026-04-24 16:00,1,0.005,춘포면,2,0.064
1,,81,0.003,0.3,,,2,23,2,7,전북,,1,,1,,2026-04-24 16:00,1,0.004,여산면,1,0.066
1,,74,0.003,0.2,,,2,18,2,6,전북,,1,,1,,2026-04-24 16:00,1,0.008,금마면,1,0.058
1,,83,0.003,0.2,,,2,33,2,10,전북,,1,,1,,2026-04-24 16:00,1,0.005,연지동,2,0.069
1,,79,0.002,0.2,,,2,32,2,11,전북,,1,,1,,2026-04-24 16:00,1,0.005,신태인,1,0.065
1,,87,0.002,0.2,,,2,26,2,9,전북,,1,,1,,2026-04-24 16:00,1,0.004,영파동,1,0.075
1,,73,0.003,0.2,,,2,19,2,8,전북,,1,,1,,2026-04-24 16:00,1,0.005,죽항동,1,0.057
1,,76,0.002,0.2,,,2,10,2,4,전북,,1,,1,,2026-04-24 16:00,1,0.004,운봉읍,1,0.061
1,,82,0.004,0.2,,,2,28,2,9,전북,,1,,1,,2026-04-24 16:00,1,0.008,고창읍,2,0.067
1,,82,0.004,0.2,,,2,38,2,16,전북,,1,,2,,2026-04-24 16:00,1,0.004,심원면,2,0.068
1,,87,0.003,0.3,,,2,47,2,15,전북,,1,,1,,2026-04-24 16:00,1,0.005,부안읍,2,0.074
1,,86,0.002,0.2,,,2,45,2,20,전북,,1,,1,,2026-04-24 16:00,1,0.007,새만금,2,0.072
1,,-,0.002,0.3,,,2,47,,8,전북,,1,,,,2026-04-24 16:00,1,0.004,계화면,,0.076
1,,81,0.003,0.3,,,2,49,2,13,전북,,1,,1,,2026-04-24 16:00,1,0.009,요촌동,2,0.067
1,,82,0.002,0.3,,,2,60,2,14,전북,,1,,1,,2026-04-24 16:00,1,0.007,광활면,2,0.068
1,,75,0.001,0.2,,,2,9,2,7,전북,,1,,1,,2026-04-24 16:00,1,0.004,고산면,1,0.059
1,,79,0.001,0.3,,,2,23,2,7,전북,,1,,1,,2026-04-24 16:00,1,0.006,봉동읍,1,0.064
,통신장애,-,-,-,통신장애,통신장애,,-,,-,전북,통신장애,,통신장애,1,통신장애,2026-04-24 16:00,,-,구이면,2,-
1,,76,0.001,0.2,,,2,12,2,3,전북,,1,,1,,2026-04-24 16:00,1,0.003,진안읍,1,0.061
1,,81,0.002,0.2,,,2,23,2,13,전북,,1,,1,,2026-04-24 16:00,1,0.004,운암면,1,0.067
1,,-,0.004,0.2,,,2,20,,2,전북,,1,,,,2026-04-24 16:00,1,0.003,임실읍,,0.053
1,,78,0.004,0.2,,,2,23,2,1,전북,,1,,1,,2026-04-24 16:00,1,0.006,관촌면,1,0.063
1,,-,0.002,0.2,,,2,16,,8,전북,,1,,,,2026-04-24 16:00,1,0.003,무주읍,,0.059
1,,75,0.001,0.2,,,2,16,2,5,전북,,1,,1,,2026-04-24 16:00,1,0.002,안성면,1,0.059
1,,77,0.003,0.2,,,2,16,2,5,전북,,1,,1,,2026-04-24 16:00,1,0.007,순창읍,1,0.061
1,,71,0.003,0.2,,,2,17,2,6,전북,,1,,1,,2026-04-24 16:00,1,0.003,장수읍,1,0.055
1,,77,0.002,0.3,,,2,15,2,2,전북,,1,,1,,2026-04-24 16:00,1,0.003,장계면,1,0.062
1,,86,0.004,0.4,,,2,36,2,13,충남,,1,,1,,2026-04-24 16:00,1,0.004,서천읍,1,0.073
1,,83,0.003,0.3,,,2,30,2,8,충남,,1,,1,,2026-04-24 16:00,1,0.008,서면,1,0.069
1,,84,0.004,0.3,,,2,25,2,10,충남,,1,,1,,2026-04-24 16:00,1,0.003,장항읍,1,0.070
1,,76,0.003,0.2,,,2,12,2,4,경북,,1,,1,,2026-04-24 16:00,1,0.003,청송읍,1,0.061
1,,92,0.003,0.3,,,2,29,2,11,인천,,1,,1,,2026-04-24 16:00,1,0.008,영흥,2,0.080
1,,111,0.004,0.3,,,3,31,3,12,인천,,1,,2,,2026-04-24 16:00,1,0.008,연평도,2,0.094
1,,99,0.004,0.3,,,2,40,2,18,인천,,1,,2,,2026-04-24 16:00,1,0.012,울도,2,0.089
1,,-,0.002,0.2,,,2,31,,12,전북,,1,,,,2026-04-24 16:00,1,0.006,군산항,,0.044
1,통신장애,76,0.003,-,,,2,36,2,17,인천,,1,,1,,2026-04-24 16:00,,0.024,신흥,2,0.061
1,,79,0.003,0.3,,,2,49,2,14,인천,,1,,2,,2026-04-24 16:00,1,0.022,서해,2,0.054
1,,81,0.003,0.3,,,2,31,2,13,인천,,1,,1,,2026-04-24 16:00,1,0.014,영종,2,0.067
1,,82,0.003,0.4,,,2,34,2,12,인천,,1,,1,,2026-04-24 16:00,1,0.022,송림,2,0.068
1,,77,0.004,0.4,,,2,55,2,22,인천,,2,,1,,2026-04-24 16:00,1,0.033,구월동,2,0.061
1,,75,0.003,0.4,,,2,41,2,17,인천,,1,,1,,2026-04-24 16:00,1,0.027,숭의,2,0.060
1,,73,0.004,0.4,,,2,41,2,14,인천,,2,,2,,2026-04-24 16:00,1,0.034,석바위,2,0.057
1,,72,0.004,0.4,,,2,75,2,24,인천,,2,,2,,2026-04-24 16:00,1,0.040,부평역,2,0.055
1,,-,0.003,0.6,,,2,65,,19,인천,,2,,2,,2026-04-24 16:00,1,0.036,남동,,0.057
1,,75,0.004,0.4,,,2,43,2,23,인천,,2,,2,,2026-04-24 16:00,1,0.030,주안,2,0.060
1,,78,0.004,0.5,,,2,52,2,22,인천,,1,,1,,2026-04-24 16:00,1,0.027,부평,2,0.063
1,,80,0.003,0.4,,,2,42,2,12,인천,,1,,1,,2026-04-24 16:00,1,0.025,연희,2,0.065
1,,86,0.003,0.3,,,2,48,2,18,인천,,1,,2,,2026-04-24 16:00,1,0.019,검단,2,0.073
,통신장애,-,-,-,통신장애,통신장애,,-,,-,인천,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,중봉,,-
1,,73,0.004,0.3,,,2,57,2,14,인천,,1,,1,,2026-04-24 16:00,1,0.023,계산,2,0.058
1,,74,0.003,0.4,,,2,39,2,17,인천,,1,,1,,2026-04-24 16:00,1,0.026,효성,2,0.059
1,,72,0.004,0.5,,,2,57,2,17,인천,,2,,1,,2026-04-24 16:00,1,0.031,임학,2,0.056
1,,80,0.004,0.4,,,2,48,2,24,인천,,1,,2,,2026-04-24 16:00,1,0.026,고잔,2,0.066
,통신장애,-,-,-,통신장애,통신장애,,-,,-,인천,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,서창,,-
1,,72,0.004,0.6,,,2,51,2,19,인천,,1,,1,,2026-04-24 16:00,1,0.027,석남,2,0.056
1,,87,0.003,0.3,,,2,30,2,13,인천,,1,,1,,2026-04-24 16:00,1,0.008,송해,2,0.075
1,,80,0.004,0.4,,,2,35,2,19,인천,,1,,1,,2026-04-24 16:00,1,0.025,동춘,2,0.066
,,,,,,,,,,,인천,,,,,,,,,운서,,
1,,55,0.003,0.4,,,2,34,2,13,인천,,1,,2,,2026-04-24 16:00,1,0.029,송현,2,0.036
1,,78,0.003,0.4,,,2,46,2,20,인천,,2,,1,,2026-04-24 16:00,1,0.031,논현,2,0.063
1,,79,0.003,0.4,,,2,31,2,11,인천,,1,,1,,2026-04-24 16:00,1,0.015,청라,2,0.065
1,,88,0.003,0.5,,,2,48,2,19,인천,,1,,2,,2026-04-24 16:00,1,0.018,송도,2,0.075
,통신장애,-,-,-,통신장애,통신장애,,-,,-,인천,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,아암,,-
1,,76,0.004,0.4,,,2,46,2,22,인천,,1,,2,,2026-04-24 16:00,1,0.029,동막,2,0.061
1,,84,0.004,0.3,,,2,48,2,16,인천,,1,,1,,2026-04-24 16:00,1,0.018,원당,2,0.071
1,,87,0.003,0.4,,,2,33,2,28,인천,,1,,2,,2026-04-24 16:00,1,0.010,길상,2,0.074
1,,79,0.004,0.4,,,2,32,2,14,인천,,1,,1,,2026-04-24 16:00,1,0.023,삼산,1,0.064
1,,85,0.002,0.2,,,2,30,2,8,인천,,1,,1,,2026-04-24 16:00,1,0.008,경인항,2,0.072
1,,73,0.003,0.2,,,2,46,2,12,인천,,2,,2,,2026-04-24 16:00,1,0.031,인천항,2,0.056
1,,84,0.002,0.3,,,2,31,2,16,인천,,2,,2,,2026-04-24 16:00,1,0.034,인천 신항,2,0.043
1,,77,0.002,0.3,,,2,32,2,8,인천,,1,,2,,2026-04-24 16:00,1,0.020,인천 북항,2,0.062
,통신장애,-,-,-,,,,8,,5,인천,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,인천 남항,,-
1,,83,0.004,0.3,,,2,57,2,23,경기,,1,,1,,2026-04-24 16:00,1,0.025,소사본동,2,0.069
1,,72,0.003,0.3,,,2,43,2,14,경기,,1,,1,,2026-04-24 16:00,1,0.029,내동,2,0.056
1,,78,0.003,0.3,,,2,59,2,19,경기,,1,,1,,2026-04-24 16:00,1,0.024,중2동,2,0.063
1,,81,0.003,0.2,,,2,50,2,14,경기,,1,,1,,2026-04-24 16:00,1,0.016,오정동,2,0.066
1,,74,0.004,0.3,,,2,83,2,23,경기,,1,,1,,2026-04-24 16:00,1,0.030,송내대로(중동),2,0.059
1,,88,0.002,0.3,,,2,23,2,9,인천,,1,,1,,2026-04-24 16:00,1,0.005,석모리,1,0.075
1,,90,0.002,0.3,,,2,30,2,10,인천,,1,,1,,2026-04-24 16:00,1,0.005,덕적도,1,0.078
1,,94,0.002,0.2,,,2,47,2,15,인천,,1,,1,,2026-04-24 16:00,1,0.005,백령도,2,0.083
1,,70,0.005,0.4,,,2,29,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.010,주교면,1,0.054
1,,-,0.002,0.2,,,2,25,,11,충남,,1,,,,2026-04-24 16:00,1,0.007,외연도,,0.064
1,,74,0.004,0.3,,,2,21,2,7,충남,,1,,1,,2026-04-24 16:00,1,0.008,홍성읍,2,0.058
1,,84,0.004,0.4,,,2,18,2,9,충남,,1,,1,,2026-04-24 16:00,1,0.005,내포,1,0.071
1,,80,0.004,0.3,,,2,8,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.009,금산읍,1,0.065
1,,62,0.005,0.5,,,2,14,2,3,충남,,1,,1,,2026-04-24 16:00,1,0.009,청양읍,1,0.043
1,,82,0.003,0.5,,,2,27,2,15,충남,,1,,1,,2026-04-24 16:00,1,0.005,정산면,1,0.068
1,,78,0.004,0.3,,,2,16,2,7,충남,,1,,1,,2026-04-24 16:00,1,0.007,엄사면,1,0.063
1,,93,0.002,0.2,,,2,48,2,26,충남,,1,,2,,2026-04-24 16:00,1,0.023,평택당진항,2,0.082
1,,77,0.003,0.3,,,2,39,2,16,충남,,2,,2,,2026-04-24 16:00,1,0.032,대산항,2,0.062
1,,81,0.002,0.2,,,2,59,2,10,충남,,1,,1,,2026-04-24 16:00,1,0.009,장항항,2,0.067
1,,90,0.001,0.2,,,2,48,2,27,충남,,1,,2,,2026-04-24 16:00,1,0.015,평택당진항(당진항),2,0.078
1,,72,0.002,0.2,,,2,44,2,22,충남,,1,,2,,2026-04-24 16:00,1,0.023,태안항,2,0.056
1,,62,0.004,0.4,,,2,35,2,18,충남,,1,,1,,2026-04-24 16:00,1,0.026,보령항,2,0.044
,통신장애,81,-,-,,,2,12,2,6,세종,,1,,1,통신장애,2026-04-24 16:00,,0.009,조치원읍,1,0.067
1,,80,0.002,0.3,통신장애,,2,2,2,-,세종,,1,,1,,2026-04-24 16:00,1,0.008,아름동,1,0.065
1,,86,0.002,0.2,,,2,13,2,5,세종,,1,,1,,2026-04-24 16:00,1,0.007,한솔동,1,0.073
1,,84,0.003,0.3,,,2,20,2,6,세종,,1,,1,,2026-04-24 16:00,1,0.007,부강면,1,0.071
1,,79,0.002,0.4,,,2,20,2,8,세종,,1,,1,,2026-04-24 16:00,1,0.007,보람동,1,0.064
1,,81,0.002,0.4,,,2,14,2,7,세종,,1,,1,,2026-04-24 16:00,1,0.007,전의면,1,0.067
1,,81,0.002,0.3,,,2,23,2,13,강원,,1,,1,,2026-04-24 16:00,1,0.007,중앙동(강원),2,0.067
1,,83,0.002,0.2,,,2,24,2,10,강원,,1,,1,,2026-04-24 16:00,1,0.006,반곡동(명륜동),1,0.069
,,,,,,,,,,,강원,,,,,,,,,문막읍,,
